number components; knn; acc; f1 score; roc score; time
1,0000;1,0000;0,4968;0,2843;0,5035;24,2512
1,0000;2,0000;0,5201;0,4715;0,5224;28,5136
1,0000;3,0000;0,5253;0,5140;0,5260;22,3820
1,0000;4,0000;0,5240;0,5243;0,5242;16,3210
1,0000;5,0000;0,5255;0,5393;0,5250;12,9375
1,0000;6,0000;0,5325;0,5409;0,5323;9,7861
1,0000;7,0000;0,5274;0,5385;0,5271;9,2922
1,0000;8,0000;0,5341;0,5446;0,5338;8,6515
1,0000;9,0000;0,5428;0,5506;0,5426;7,3819
1,0000;10,0000;0,5294;0,5422;0,5290;7,3929
1,0000;11,0000;0,5477;0,5645;0,5470;7,0460
1,0000;12,0000;0,5429;0,5543;0,5426;7,1483
1,0000;13,0000;0,5433;0,5517;0,5431;5,6128
1,0000;14,0000;0,5492;0,5671;0,5485;5,3854
1,0000;15,0000;0,5382;0,5479;0,5380;4,8170
1,0000;16,0000;0,5328;0,5466;0,5323;4,5466
1,0000;17,0000;0,5370;0,5500;0,5366;4,8624
1,0000;18,0000;0,5347;0,5496;0,5342;4,1825
1,0000;19,0000;0,5417;0,5551;0,5412;4,0336
1,0000;20,0000;0,5411;0,5523;0,5408;3,8704
1,0000;21,0000;0,5360;0,5492;0,5356;4,1144
1,0000;22,0000;0,5407;0,5591;0,5400;3,9962
1,0000;23,0000;0,5374;0,5551;0,5367;3,9598
1,0000;24,0000;0,5282;0,5451;0,5276;3,8801
1,0000;25,0000;0,5278;0,5437;0,5273;3,6224
2,0000;1,0000;0,5653;0,4174;0,5711;25,8078
2,0000;2,0000;0,6169;0,6216;0,6168;28,9961
2,0000;3,0000;0,6228;0,6301;0,6227;18,5486
2,0000;4,0000;0,6241;0,6341;0,6237;14,1011
2,0000;5,0000;0,6346;0,6473;0,6341;12,2622
2,0000;6,0000;0,6323;0,6413;0,6320;11,3071
2,0000;7,0000;0,6351;0,6504;0,6344;10,5224
2,0000;8,0000;0,6367;0,6483;0,6363;8,5029
2,0000;9,0000;0,6381;0,6510;0,6375;7,6393
2,0000;10,0000;0,6423;0,6575;0,6416;7,5968
2,0000;11,0000;0,6493;0,6621;0,6488;6,9752
2,0000;12,0000;0,6507;0,6622;0,6503;5,9016
2,0000;13,0000;0,6502;0,6662;0,6494;6,5256
2,0000;14,0000;0,6566;0,6719;0,6559;6,2018
2,0000;15,0000;0,6626;0,6770;0,6619;5,4553
2,0000;16,0000;0,6694;0,6836;0,6687;4,9926
2,0000;17,0000;0,6633;0,6784;0,6625;4,7853
2,0000;18,0000;0,6688;0,6853;0,6679;4,5914
2,0000;19,0000;0,6665;0,6817;0,6657;4,6131
2,0000;20,0000;0,6658;0,6828;0,6649;4,2742
2,0000;21,0000;0,6599;0,6761;0,6590;4,2983
2,0000;22,0000;0,6568;0,6743;0,6558;4,1273
2,0000;23,0000;0,6691;0,6880;0,6680;4,0025
2,0000;24,0000;0,6701;0,6865;0,6691;3,7170
