knn;number components; acc; f1 score; roc score; time
1,0000;1,0000;0,4964;0,3030;0,5027;24,8380
1,0000;1,0000;0,5000;0,2974;0,5066;26,7500
1,0000;1,0000;0,4781;0,2353;0,4853;24,1750
1,0000;1,0000;0,5109;0,3021;0,5178;26,2930
1,0000;1,0000;0,5292;0,3316;0,5359;25,3070
1,0000;1,0000;0,4854;0,2618;0,4923;26,5460
1,0000;1,0000;0,5182;0,2826;0,5257;24,5650
1,0000;1,0000;0,5182;0,2979;0,5254;25,2090
1,0000;1,0000;0,5000;0,2595;0,5074;24,1860
1,0000;1,0000;0,4854;0,2985;0,4915;23,0759
1,0000;1,0000;0,5219;0,3350;0,5283;26,5720
1,0000;1,0000;0,4927;0,3085;0,4988;23,6869
1,0000;1,0000;0,5073;0,2373;0,5153;23,9490
1,0000;1,0000;0,5438;0,3655;0,5502;23,8620
1,0000;1,0000;0,5219;0,3282;0,5285;23,9240
1,0000;1,0000;0,5000;0,2902;0,5067;24,3160
1,0000;1,0000;0,4927;0,2872;0,4993;23,2400
1,0000;1,0000;0,4854;0,3122;0,4912;24,2039
1,0000;1,0000;0,4380;0,2062;0,4446;23,2900
1,0000;1,0000;0,5219;0,2995;0,5291;23,6647
1,0000;1,0000;0,4818;0,2447;0,4889;22,7910
1,0000;1,0000;0,4818;0,2526;0,4887;23,8449
1,0000;1,0000;0,4854;0,2460;0,4926;25,1629
1,0000;1,0000;0,5036;0,2093;0,5120;22,2120
1,0000;1,0000;0,4854;0,2769;0,4920;23,4980
1,0000;1,0000;0,4781;0,2513;0,4850;22,9980
1,0000;1,0000;0,5109;0,3163;0,5174;23,9160
1,0000;1,0000;0,5182;0,3196;0,5249;23,3631
1,0000;1,0000;0,5109;0,3093;0,5176;23,2680
1,0000;1,0000;0,4526;0,2188;0,4593;23,5030
1,0000;1,0000;0,4927;0,2798;0,4994;22,8959
1,0000;1,0000;0,5036;0,3061;0,5101;22,9800
1,0000;1,0000;0,5109;0,3300;0,5171;24,1150
1,0000;1,0000;0,4927;0,2723;0,4996;24,0271
1,0000;1,0000;0,4781;0,3024;0,4838;25,2580
1,0000;1,0000;0,5255;0,3299;0,5322;23,6210
1,0000;1,0000;0,5036;0,3061;0,5101;27,6240
1,0000;1,0000;0,4891;0,2857;0,4955;24,5380
1,0000;1,0000;0,4599;0,2211;0,4668;23,4730
1,0000;1,0000;0,5036;0,2917;0,5104;25,9160
1,0000;1,0000;0,4599;0,2816;0,4655;24,9510
1,0000;1,0000;0,4891;0,2632;0,4960;23,4190
1,0000;1,0000;0,4672;0,2065;0,4746;23,4410
1,0000;1,0000;0,5219;0,3069;0,5289;23,3150
1,0000;1,0000;0,4307;0,2277;0,4366;25,4640
1,0000;1,0000;0,5292;0,3707;0,5350;24,2360
1,0000;1,0000;0,5146;0,2811;0,5220;23,9610
1,0000;1,0000;0,5182;0,3053;0,5252;23,8240
1,0000;1,0000;0,4818;0,2447;0,4889;24,2160
1,0000;1,0000;0,5109;0,3163;0,5174;25,0740
2,0000;1,0000;0,4964;0,4298;0,4991;41,0470
2,0000;1,0000;0,5474;0,5373;0,5482;34,3030
2,0000;1,0000;0,5146;0,4701;0,5167;24,8490
2,0000;1,0000;0,5036;0,3929;0,5079;33,4030
2,0000;1,0000;0,5255;0,5076;0,5266;34,0160
2,0000;1,0000;0,5584;0,5784;0,5576;29,0650
2,0000;1,0000;0,5146;0,4571;0,5172;27,8650
2,0000;1,0000;0,5401;0,4836;0,5428;23,5530
2,0000;1,0000;0,5511;0,5323;0,5522;37,8310
2,0000;1,0000;0,4964;0,4692;0,4977;30,2530
2,0000;1,0000;0,5073;0,4747;0,5089;26,5550
2,0000;1,0000;0,4708;0,4314;0,4725;33,0420
2,0000;1,0000;0,5109;0,4508;0,5136;16,4790
2,0000;1,0000;0,5000;0,5018;0,5002;28,4784
2,0000;1,0000;0,5146;0,4784;0,5164;17,3580
2,0000;1,0000;0,4635;0,4411;0,4646;34,9620
2,0000;1,0000;0,5328;0,5294;0,5333;38,9779
2,0000;1,0000;0,5219;0,4473;0,5251;25,0670
2,0000;1,0000;0,5182;0,4677;0,5206;24,6300
2,0000;1,0000;0,5036;0,4380;0,5064;17,3820
2,0000;1,0000;0,4745;0,4331;0,4763;35,9560
2,0000;1,0000;0,4927;0,4184;0,4957;35,9430
2,0000;1,0000;0,5146;0,4571;0,5172;17,9550
2,0000;1,0000;0,5182;0,4884;0,5198;24,5053
2,0000;1,0000;0,5511;0,5176;0,5529;28,0549
2,0000;1,0000;0,5000;0,4408;0,5026;39,0810
2,0000;1,0000;0,5000;0,4362;0,5027;41,3359
2,0000;1,0000;0,4964;0,4052;0,4999;20,6370
2,0000;1,0000;0,5365;0,4858;0,5389;38,1057
2,0000;1,0000;0,5474;0,4312;0,5522;39,6479
2,0000;1,0000;0,5547;0,4831;0,5580;39,4465
2,0000;1,0000;0,5073;0,4622;0,5094;52,4354
2,0000;1,0000;0,5109;0,4274;0,5144;30,2310
2,0000;1,0000;0,5328;0,4961;0,5347;29,6600
2,0000;1,0000;0,5730;0,5339;0,5751;28,5676
2,0000;1,0000;0,4964;0,4609;0,4980;27,7670
2,0000;1,0000;0,4964;0,4298;0,4991;21,8340
2,0000;1,0000;0,5803;0,5455;0,5822;24,6970
2,0000;1,0000;0,5219;0,4609;0,5246;25,1460
2,0000;1,0000;0,5547;0,4741;0,5584;14,7130
2,0000;1,0000;0,4416;0,3704;0,4443;21,8400
2,0000;1,0000;0,5073;0,4828;0,5086;19,9850
2,0000;1,0000;0,5365;0,4774;0,5392;25,4410
2,0000;1,0000;0,5328;0,4839;0,5352;15,1900
2,0000;1,0000;0,5365;0,4774;0,5392;18,1420
2,0000;1,0000;0,5511;0,5020;0,5535;26,3420
2,0000;1,0000;0,5547;0,4874;0,5579;29,5200
2,0000;1,0000;0,5328;0,4921;0,5349;22,8140
2,0000;1,0000;0,5438;0,5387;0,5443;29,7487
2,0000;1,0000;0,5182;0,4590;0,5209;21,8210
3,0000;1,0000;0,5474;0,5040;0,5496;19,1020
3,0000;1,0000;0,5182;0,5286;0,5180;33,4170
3,0000;1,0000;0,4818;0,4965;0,4813;23,7130
3,0000;1,0000;0,5474;0,5507;0,5475;22,6960
3,0000;1,0000;0,5365;0,5314;0,5370;20,9990
3,0000;1,0000;0,4927;0,5018;0,4925;44,6570
