number components; knn; acc score; f1 score; roc score; time
1,0000;1,0000;0,0233;0,0391;0,0234;1,1371
1,0000;2,0000;0,0277;0,0411;0,0277;8,0191
1,0000;3,0000;0,0283;0,0394;0,0282;8,5487
1,0000;4,0000;0,0274;0,0401;0,0272;5,1380
1,0000;5,0000;0,0273;0,0338;0,0274;4,3588
1,0000;6,0000;0,0308;0,0324;0,0309;2,8604
1,0000;7,0000;0,0289;0,0364;0,0287;2,7702
1,0000;8,0000;0,0322;0,0345;0,0324;2,6034
1,0000;9,0000;0,0329;0,0385;0,0329;1,7716
1,0000;10,0000;0,0365;0,0404;0,0365;2,3311
1,0000;11,0000;0,0285;0,0337;0,0284;2,7661
1,0000;12,0000;0,0323;0,0359;0,0323;2,0339
1,0000;13,0000;0,0257;0,0349;0,0256;1,4957
1,0000;14,0000;0,0301;0,0339;0,0300;1,4749
1,0000;15,0000;0,0294;0,0357;0,0294;1,1645
1,0000;16,0000;0,0292;0,0355;0,0291;1,1893
1,0000;17,0000;0,0326;0,0403;0,0325;1,2648
1,0000;18,0000;0,0331;0,0367;0,0331;1,1294
1,0000;19,0000;0,0308;0,0349;0,0309;1,1715
1,0000;20,0000;0,0299;0,0317;0,0302;1,0585
1,0000;21,0000;0,0389;0,0440;0,0389;1,1805
1,0000;22,0000;0,0308;0,0326;0,0309;0,9772
1,0000;23,0000;0,0318;0,0362;0,0318;1,0859
1,0000;24,0000;0,0311;0,0361;0,0311;1,0057
1,0000;25,0000;0,0330;0,0360;0,0330;1,1837
2,0000;1,0000;0,0192;0,0366;0,0191;2,8240
2,0000;2,0000;0,0341;0,0472;0,0335;10,7899
2,0000;3,0000;0,0312;0,0355;0,0312;5,0008
2,0000;4,0000;0,0325;0,0409;0,0322;3,9295
2,0000;5,0000;0,0317;0,0367;0,0315;4,5512
2,0000;6,0000;0,0322;0,0383;0,0319;3,9347
2,0000;7,0000;0,0321;0,0381;0,0318;2,8256
2,0000;8,0000;0,0312;0,0334;0,0312;2,4605
2,0000;9,0000;0,0294;0,0363;0,0291;2,1307
2,0000;10,0000;0,0248;0,0288;0,0247;2,2935
2,0000;11,0000;0,0230;0,0270;0,0229;2,6491
2,0000;12,0000;0,0265;0,0291;0,0264;1,7465
2,0000;13,0000;0,0327;0,0386;0,0324;2,2515
2,0000;14,0000;0,0294;0,0361;0,0291;1,6000
2,0000;15,0000;0,0286;0,0391;0,0280;1,5429
