knn,comp, acc, f_score, roc, time
1,1,0.4964,0.303,0.5027,24.838
1,1,0.5,0.2974,0.5066,26.75
1,1,0.4781,0.2353,0.4853,24.175
1,1,0.5109,0.3021,0.5178,26.293
1,1,0.5292,0.3316,0.5359,25.307
1,1,0.4854,0.2618,0.4923,26.546
1,1,0.5182,0.2826,0.5257,24.565
1,1,0.5182,0.2979,0.5254,25.209
1,1,0.5,0.2595,0.5074,24.186
1,1,0.4854,0.2985,0.4915,23.0759
1,1,0.5219,0.335,0.5283,26.572
1,1,0.4927,0.3085,0.4988,23.6869
1,1,0.5073,0.2373,0.5153,23.949
1,1,0.5438,0.3655,0.5502,23.862
1,1,0.5219,0.3282,0.5285,23.924
1,1,0.5,0.2902,0.5067,24.316
1,1,0.4927,0.2872,0.4993,23.24
1,1,0.4854,0.3122,0.4912,24.2039
1,1,0.438,0.2062,0.4446,23.29
1,1,0.5219,0.2995,0.5291,23.6647
1,1,0.4818,0.2447,0.4889,22.791
1,1,0.4818,0.2526,0.4887,23.8449
1,1,0.4854,0.246,0.4926,25.1629
1,1,0.5036,0.2093,0.512,22.212
1,1,0.4854,0.2769,0.492,23.498
1,1,0.4781,0.2513,0.485,22.998
1,1,0.5109,0.3163,0.5174,23.916
1,1,0.5182,0.3196,0.5249,23.3631
1,1,0.5109,0.3093,0.5176,23.268
1,1,0.4526,0.2188,0.4593,23.503
1,1,0.4927,0.2798,0.4994,22.8959
1,1,0.5036,0.3061,0.5101,22.98
1,1,0.5109,0.33,0.5171,24.115
1,1,0.4927,0.2723,0.4996,24.0271
1,1,0.4781,0.3024,0.4838,25.258
1,1,0.5255,0.3299,0.5322,23.621
1,1,0.5036,0.3061,0.5101,27.624
1,1,0.4891,0.2857,0.4955,24.538
1,1,0.4599,0.2211,0.4668,23.473
1,1,0.5036,0.2917,0.5104,25.916
1,1,0.4599,0.2816,0.4655,24.951
1,1,0.4891,0.2632,0.496,23.419
1,1,0.4672,0.2065,0.4746,23.441
1,1,0.5219,0.3069,0.5289,23.315
1,1,0.4307,0.2277,0.4366,25.464
1,1,0.5292,0.3707,0.535,24.236
1,1,0.5146,0.2811,0.522,23.961
1,1,0.5182,0.3053,0.5252,23.824
1,1,0.4818,0.2447,0.4889,24.216
1,1,0.5109,0.3163,0.5174,25.074
2,1,0.4964,0.4298,0.4991,41.047
2,1,0.5474,0.5373,0.5482,34.303
2,1,0.5146,0.4701,0.5167,24.849
2,1,0.5036,0.3929,0.5079,33.403
2,1,0.5255,0.5076,0.5266,34.016
2,1,0.5584,0.5784,0.5576,29.065
2,1,0.5146,0.4571,0.5172,27.865
2,1,0.5401,0.4836,0.5428,23.553
2,1,0.5511,0.5323,0.5522,37.831
2,1,0.4964,0.4692,0.4977,30.253
2,1,0.5073,0.4747,0.5089,26.555
2,1,0.4708,0.4314,0.4725,33.042
2,1,0.5109,0.4508,0.5136,16.479
2,1,0.5,0.5018,0.5002,28.4784
2,1,0.5146,0.4784,0.5164,17.358
2,1,0.4635,0.4411,0.4646,34.962
2,1,0.5328,0.5294,0.5333,38.9779
2,1,0.5219,0.4473,0.5251,25.067
2,1,0.5182,0.4677,0.5206,24.63
2,1,0.5036,0.438,0.5064,17.382
2,1,0.4745,0.4331,0.4763,35.956
2,1,0.4927,0.4184,0.4957,35.943
2,1,0.5146,0.4571,0.5172,17.955
2,1,0.5182,0.4884,0.5198,24.5053
2,1,0.5511,0.5176,0.5529,28.0549
2,1,0.5,0.4408,0.5026,39.081
