comp,knn,acc, acc_std,f_score, f_score_std,roc, roc_std,time, time_std
1,1,0.5167,0.023,0.3171,0.0413,0.5233,0.023,24.3625,1.0719
1,2,0.5714,0.0355,0.5409,0.0407,0.5731,0.0357,30.831,10.2552
1,3,0.5802,0.034,0.5823,0.0439,0.5803,0.0337,23.1061,7.9068
1,4,0.5767,0.0336,0.5892,0.0356,0.5763,0.0337,15.7945,6.0573
1,5,0.5733,0.0257,0.5838,0.0304,0.573,0.0258,12.6889,5.4663
1,6,0.5826,0.0301,0.5903,0.037,0.5824,0.03,10.8477,3.2301
1,7,0.5805,0.0256,0.5928,0.0301,0.5801,0.0257,9.2753,3.2477
1,8,0.5785,0.029,0.5903,0.0363,0.5781,0.0288,8.282,2.709
1,9,0.578,0.0291,0.5881,0.0355,0.5776,0.029,7.7004,2.5916
1,10,0.5834,0.0307,0.5952,0.0357,0.583,0.0306,6.8526,1.8896
1,11,0.5843,0.0337,0.5987,0.0407,0.5837,0.0337,6.3744,1.7561
1,12,0.5964,0.0268,0.6063,0.0328,0.596,0.0268,5.7925,1.5505
1,13,0.5967,0.0279,0.6051,0.0309,0.5965,0.028,5.3535,1.4879
1,14,0.5872,0.0284,0.599,0.0314,0.5868,0.0285,5.1203,1.2931
1,15,0.5864,0.036,0.5974,0.0405,0.5861,0.0359,5.1556,1.4935
1,16,0.5895,0.03,0.6013,0.0358,0.5891,0.0298,5.2014,1.3932
1,17,0.5983,0.0289,0.6117,0.0276,0.5978,0.0292,4.5277,1.1772
1,18,0.5989,0.0323,0.612,0.0408,0.5984,0.0321,4.5187,1.3925
1,19,0.5947,0.0358,0.6094,0.0403,0.5941,0.0356,4.1577,0.9133
1,20,0.5955,0.0333,0.6053,0.0366,0.5952,0.0333,4.0787,1.1723
1,21,0.6062,0.0318,0.6221,0.0378,0.6055,0.0317,3.8634,1.1399
1,22,0.6035,0.0311,0.6196,0.0327,0.6028,0.0313,3.9087,0.9823
1,23,0.6036,0.0295,0.6157,0.0312,0.6032,0.0296,3.8893,1.1078
1,24,0.5967,0.0342,0.6089,0.0361,0.5963,0.0344,3.7355,1.1018
1,25,0.6096,0.0302,0.6201,0.0361,0.6092,0.0302,3.6017,1.0186
2,1,0.58,0.0273,0.4113,0.047,0.5865,0.0272,23.6588,0.4309
2,2,0.6904,0.0312,0.6811,0.0366,0.6913,0.0311,29.2467,8.1567
2,3,0.7166,0.0376,0.7231,0.0388,0.7164,0.0377,19.0558,6.2586
2,4,0.7335,0.0242,0.7388,0.0281,0.7334,0.0241,14.7735,5.0724
2,5,0.7377,0.036,0.7457,0.036,0.7373,0.036,12.5548,4.1815
2,6,0.75,0.0295,0.7591,0.0272,0.7495,0.0297,10.5145,3.2664
2,7,0.7597,0.0301,0.7681,0.0306,0.7592,0.0301,9.2191,2.7688
2,8,0.7668,0.0292,0.7735,0.032,0.7665,0.0291,8.4435,2.7899
2,9,0.7553,0.032,0.7641,0.0339,0.7547,0.0319,7.8228,2.6635
2,10,0.7657,0.0303,0.7774,0.0329,0.7648,0.0301,6.5686,1.8746
2,11,0.7523,0.032,0.7645,0.0345,0.7515,0.0317,6.2344,1.7907
2,12,0.7603,0.0376,0.7736,0.0368,0.7593,0.0376,6.1572,1.8787
2,13,0.7606,0.029,0.7732,0.0317,0.7597,0.0288,5.0626,1.5272
2,14,0.7644,0.0228,0.7773,0.0246,0.7634,0.0226,5.0242,1.5811
2,15,0.7539,0.0303,0.7686,0.0329,0.7528,0.03,4.8714,1.3689
2,16,0.7488,0.0327,0.7611,0.0353,0.7479,0.0325,4.5674,1.3269
2,17,0.7499,0.0328,0.7637,0.0368,0.7489,0.0324,4.6185,1.0667
2,18,0.7459,0.0342,0.7605,0.0395,0.7448,0.0336,4.4915,1.2966
2,19,0.7503,0.0294,0.7643,0.0341,0.7493,0.0289,4.3053,1.2554
2,20,0.7501,0.035,0.7673,0.035,0.7489,0.0349,3.8342,1.247
2,21,0.7488,0.0319,0.7646,0.0335,0.7477,0.0316,3.7576,0.8762
2,22,0.7535,0.033,0.7706,0.0356,0.7521,0.0327,3.5231,0.9829
2,23,0.7536,0.0254,0.7699,0.029,0.7524,0.025,3.4948,0.9746
2,24,0.7486,0.0354,0.7648,0.0407,0.7473,0.0348,3.5386,0.967
2,25,0.7473,0.0323,0.7647,0.0354,0.746,0.0318,3.3745,0.8875
3,1,0.6226,0.0291,0.4878,0.0492,0.6286,0.0289,24.2016,0.9052
3,2,0.7577,0.0334,0.7554,0.039,0.7581,0.0332,28.3239,7.7232
3,3,0.7935,0.032,0.7949,0.0323,0.7937,0.032,18.4696,6.6443
3,4,0.8067,0.0266,0.8094,0.0264,0.8068,0.0267,15.0763,5.9756
3,5,0.8062,0.0272,0.8117,0.0267,0.8059,0.0273,13.3896,4.1221
3,6,0.8132,0.0271,0.8168,0.0267,0.8132,0.0272,9.5498,2.772
3,7,0.7997,0.0243,0.8058,0.0237,0.7994,0.0245,9.5429,2.6807
3,8,0.8069,0.0297,0.8151,0.0286,0.8063,0.0297,8.9253,2.656
3,9,0.8092,0.0262,0.8159,0.0254,0.8088,0.0263,7.2576,2.4093
3,10,0.8103,0.0317,0.8161,0.0318,0.81,0.0316,7.1826,2.2938
3,11,0.8081,0.0303,0.8144,0.0325,0.8077,0.03,5.9568,1.6456
3,12,0.815,0.0271,0.8226,0.0272,0.8145,0.0271,6.1225,1.8088
3,13,0.812,0.0276,0.8204,0.0268,0.8113,0.0276,5.2388,1.6806
3,14,0.8126,0.0295,0.8212,0.0284,0.812,0.0296,5.3157,1.8838
3,15,0.8128,0.0243,0.8201,0.0247,0.8123,0.0243,4.4483,1.1114
3,16,0.8112,0.0241,0.8196,0.0234,0.8105,0.0241,4.7452,1.4561
3,17,0.8169,0.0256,0.8248,0.0253,0.8162,0.0256,4.2567,1.1673
3,18,0.802,0.0237,0.8108,0.024,0.8014,0.0237,4.0502,1.3411
3,19,0.8049,0.0299,0.8141,0.0312,0.8041,0.0298,4.1775,0.8804
3,20,0.8067,0.0335,0.815,0.0342,0.8061,0.0334,3.8854,1.3209
3,21,0.8078,0.0269,0.8169,0.0274,0.8071,0.0268,3.6012,1.0955
3,22,0.8094,0.0283,0.8181,0.0288,0.8087,0.0281,3.7622,1.1556
3,23,0.8039,0.0283,0.8131,0.029,0.8032,0.0282,3.6905,1.1024
3,24,0.8027,0.0279,0.812,0.0289,0.802,0.0277,3.333,0.9218
3,25,0.8031,0.0361,0.8114,0.0386,0.8024,0.0358,3.3383,0.9157
4,1,0.646,0.0317,0.5404,0.0535,0.6513,0.0314,24.7476,1.0645
4,2,0.7643,0.0319,0.7676,0.0308,0.7644,0.0321,24.7616,8.2456
