knn; number components; acc score; f1 score; roc score; time
1,0000;1,0000;0,5182;0,3053;0,5252;24,0401
1,0000;1,0000;0,5365;0,3682;0,5426;28,5021
1,0000;1,0000;0,5511;0,3756;0,5575;24,5130
1,0000;1,0000;0,4854;0,2540;0,4924;24,7920
1,0000;1,0000;0,5365;0,3682;0,5426;25,3811
1,0000;1,0000;0,4854;0,2843;0,4918;24,0410
1,0000;1,0000;0,5109;0,3366;0,5170;24,2090
1,0000;1,0000;0,5182;0,3774;0,5235;25,8476
1,0000;1,0000;0,5292;0,2793;0,5370;23,5821
1,0000;1,0000;0,4927;0,2872;0,4993;25,1760
1,0000;1,0000;0,4964;0,3030;0,5027;24,0280
1,0000;1,0000;0,5401;0,3438;0,5470;23,5019
1,0000;1,0000;0,4927;0,3085;0,4988;23,8900
1,0000;1,0000;0,5255;0,3299;0,5322;26,9190
1,0000;1,0000;0,4927;0,2872;0,4993;25,4630
1,0000;1,0000;0,4964;0,2737;0,5033;23,7140
1,0000;1,0000;0,5000;0,2902;0,5067;24,6996
1,0000;1,0000;0,5292;0,3246;0,5361;24,7920
1,0000;1,0000;0,5000;0,2974;0,5066;24,0540
1,0000;1,0000;0,5073;0,3005;0,5140;23,4746
1,0000;1,0000;0,5328;0,3333;0,5397;25,7841
1,0000;1,0000;0,5219;0,2995;0,5291;23,1120
1,0000;1,0000;0,4891;0,2308;0,4966;23,1680
1,0000;1,0000;0,5000;0,2827;0,5069;24,3520
1,0000;1,0000;0,5474;0,3800;0,5536;24,6341
1,0000;1,0000;0,5365;0,3135;0,5439;23,8899
1,0000;1,0000;0,4927;0,2567;0,4999;23,6020
1,0000;1,0000;0,5401;0,3226;0,5474;23,0990
1,0000;1,0000;0,4781;0,2886;0,4842;23,7527
1,0000;1,0000;0,5255;0,3500;0,5317;24,9230
1,0000;1,0000;0,4927;0,2723;0,4996;23,6290
1,0000;1,0000;0,4818;0,3173;0,4873;24,5200
1,0000;1,0000;0,5182;0,2584;0,5262;23,1840
1,0000;1,0000;0,4964;0,2737;0,5033;24,6140
1,0000;1,0000;0,5365;0,3280;0,5436;25,4000
1,0000;1,0000;0,4927;0,2944;0,4991;24,5629
1,0000;1,0000;0,5401;0,3636;0,5465;23,4380
1,0000;1,0000;0,5146;0,3383;0,5207;24,0720
1,0000;1,0000;0,5255;0,2857;0,5332;22,8240
1,0000;1,0000;0,5219;0,3547;0,5278;23,9410
1,0000;1,0000;0,5401;0,3571;0,5466;23,4479
1,0000;1,0000;0,5401;0,3762;0,5462;24,2919
1,0000;1,0000;0,5547;0,3900;0,5609;23,5700
1,0000;1,0000;0,5620;0,3878;0,5686;27,1230
1,0000;1,0000;0,4891;0,2708;0,4958;23,7531
1,0000;1,0000;0,5000;0,3046;0,5064;24,0920
1,0000;1,0000;0,5036;0,2842;0,5106;24,7550
1,0000;1,0000;0,5730;0,4121;0,5793;24,1520
1,0000;1,0000;0,5292;0,3316;0,5359;23,8627
1,0000;1,0000;0,5146;0,3037;0,5215;23,9540
2,0000;1,0000;0,5584;0,5101;0,5608;35,4900
2,0000;1,0000;0,5766;0,5504;0,5782;34,7520
2,0000;1,0000;0,5766;0,5323;0,5790;15,5350
2,0000;1,0000;0,5511;0,5461;0,5516;59,0070
2,0000;1,0000;0,5657;0,5475;0,5668;21,3720
2,0000;1,0000;0,6058;0,5814;0,6074;26,9680
2,0000;1,0000;0,5620;0,5652;0,5622;21,0010
2,0000;1,0000;0,5328;0,5188;0,5337;28,8790
2,0000;1,0000;0,6387;0,6178;0,6402;23,4500
2,0000;1,0000;0,5547;0,5041;0,5572;38,6060
2,0000;1,0000;0,5730;0,5447;0,5746;32,5281
2,0000;1,0000;0,5255;0,5076;0,5266;41,7710
2,0000;1,0000;0,5401;0,5401;0,5404;42,8518
2,0000;1,0000;0,5949;0,5779;0,5961;21,3220
2,0000;1,0000;0,5803;0,5455;0,5822;31,8352
2,0000;1,0000;0,5438;0,5387;0,5443;20,8349
2,0000;1,0000;0,4562;0,4377;0,4571;22,0860
2,0000;1,0000;0,5912;0,5725;0,5925;26,9570
2,0000;1,0000;0,6058;0,5714;0,6079;24,3270
2,0000;1,0000;0,6131;0,6187;0,6131;41,0740
2,0000;1,0000;0,5401;0,5227;0,5412;23,6101
2,0000;1,0000;0,5839;0,5000;0,5879;29,2276
2,0000;1,0000;0,5547;0,5515;0,5552;35,5660
2,0000;1,0000;0,6058;0,5714;0,6079;41,7850
2,0000;1,0000;0,5620;0,5200;0,5642;27,3160
2,0000;1,0000;0,5438;0,5387;0,5443;33,2670
2,0000;1,0000;0,5547;0,5379;0,5558;28,8720
2,0000;1,0000;0,5730;0,5105;0,5761;32,9210
2,0000;1,0000;0,5766;0,5504;0,5782;18,6320
2,0000;1,0000;0,5620;0,4915;0,5654;29,5600
2,0000;1,0000;0,6350;0,5968;0,6374;55,2980
2,0000;1,0000;0,6387;0,6178;0,6402;22,0299
2,0000;1,0000;0,5511;0,5060;0,5534;36,2280
2,0000;1,0000;0,6058;0,5610;0,6084;19,3186
2,0000;1,0000;0,5949;0,5904;0,5954;29,8400
2,0000;1,0000;0,5474;0,5156;0,5491;16,6250
2,0000;1,0000;0,5182;0,4844;0,5199;21,4560
2,0000;1,0000;0,6241;0,5961;0,6259;34,6750
2,0000;1,0000;0,6387;0,5959;0,6413;25,9293
2,0000;1,0000;0,5511;0,4980;0,5537;23,9520
2,0000;1,0000;0,5474;0,4833;0,5504;28,4410
2,0000;1,0000;0,5474;0,5000;0,5498;27,6340
2,0000;1,0000;0,5985;0,5833;0,5996;22,5420
2,0000;1,0000;0,5912;0,5520;0,5934;65,5789
2,0000;1,0000;0,5365;0,4730;0,5394;37,7511
2,0000;1,0000;0,5365;0,4816;0,5391;44,7621
2,0000;1,0000;0,6131;0,5923;0,6146;33,0850
2,0000;1,0000;0,5328;0,5115;0,5341;24,0840
2,0000;1,0000;0,5730;0,5375;0,5749;29,2170
2,0000;1,0000;0,5839;0,5476;0,5860;31,6990
3,0000;1,0000;0,5839;0,5512;0,5858;30,6119
3,0000;1,0000;0,5803;0,5965;0,5797;20,9269
3,0000;1,0000;0,6168;0,6182;0,6170;12,0990
3,0000;1,0000;0,5693;0,5597;0,5701;18,6740
3,0000;1,0000;0,6496;0,6571;0,6495;21,6430
3,0000;1,0000;0,5803;0,5660;0,5813;21,5080
3,0000;1,0000;0,5730;0,5483;0,5745;16,4030
3,0000;1,0000;0,5401;0,5154;0,5415;25,1460
3,0000;1,0000;0,5766;0,5766;0,5769;25,9199
3,0000;1,0000;0,5292;0,5204;0,5299;17,6810
3,0000;1,0000;0,5474;0,5634;0,5469;21,6800
3,0000;1,0000;0,5438;0,5247;0,5449;16,2720
3,0000;1,0000;0,5292;0,5343;0,5292;28,4901
3,0000;1,0000;0,5584;0,6059;0,5560;14,7460
3,0000;1,0000;0,6058;0,5714;0,6079;24,6890
3,0000;1,0000;0,5219;0,5130;0,5225;16,2200
3,0000;1,0000;0,6058;0,6115;0,6058;17,1340
3,0000;1,0000;0,5511;0,5654;0,5506;21,0660
3,0000;1,0000;0,6387;0,6877;0,6356;16,7349
3,0000;1,0000;0,6058;0,6029;0,6063;18,8489
3,0000;1,0000;0,5985;0,5703;0,6003;15,1700
3,0000;1,0000;0,5511;0,5773;0,5500;28,0300
3,0000;1,0000;0,5876;0,6007;0,5872;12,4980
3,0000;1,0000;0,5949;0,5904;0,5954;28,2320
3,0000;1,0000;0,5839;0,5870;0,5841;26,2740
3,0000;1,0000;0,5657;0,5182;0,5681;42,2580
3,0000;1,0000;0,6277;0,6554;0,6263;44,3539
3,0000;1,0000;0,5730;0,5618;0,5738;36,2409
3,0000;1,0000;0,5949;0,6022;0,5948;19,4509
3,0000;1,0000;0,6533;0,6643;0,6529;39,8100
3,0000;1,0000;0,5949;0,6105;0,5943;19,6170
3,0000;1,0000;0,5912;0,5942;0,5914;22,0570
3,0000;1,0000;0,5766;0,6234;0,5742;26,3170
3,0000;1,0000;0,5365;0,5058;0,5381;28,0960
3,0000;1,0000;0,5949;0,5779;0,5961;14,2099
3,0000;1,0000;0,6168;0,6367;0,6159;26,5471
3,0000;1,0000;0,6241;0,6360;0,6237;31,0917
3,0000;1,0000;0,5474;0,5753;0,5463;25,2260
3,0000;1,0000;0,5182;0,5182;0,5185;14,7350
3,0000;1,0000;0,5000;0,5193;0,4994;15,6226
3,0000;1,0000;0,6168;0,6125;0,6173;15,8930
3,0000;1,0000;0,5730;0,5923;0,5722;39,8159
3,0000;1,0000;0,5693;0,5662;0,5698;19,7836
3,0000;1,0000;0,6277;0,6434;0,6271;14,0810
3,0000;1,0000;0,5803;0,5455;0,5822;17,3110
3,0000;1,0000;0,5584;0,5328;0,5599;33,2690
3,0000;1,0000;0,5876;0,6169;0,5862;22,3600
3,0000;1,0000;0,5839;0,5746;0,5847;31,6760
3,0000;1,0000;0,5657;0,5735;0,5656;16,1102
3,0000;1,0000;0,6095;0,6421;0,6078;22,6739
4,0000;1,0000;0,6058;0,6301;0,6047;8,0230
4,0000;1,0000;0,6496;0,6596;0,6493;10,0229
4,0000;1,0000;0,5000;0,5125;0,4997;15,5110
4,0000;1,0000;0,5620;0,6000;0,5602;23,7467
4,0000;1,0000;0,5766;0,5972;0,5758;24,5850
4,0000;1,0000;0,6241;0,6171;0,6248;16,3709
