number components; knn; acc score; f1 score; roc score; time
1,0000;1,0000;0,5167;0,3171;0,5233;24,3625
1,0000;2,0000;0,5714;0,5409;0,5731;30,8310
1,0000;3,0000;0,5802;0,5823;0,5803;23,1061
1,0000;4,0000;0,5767;0,5892;0,5763;15,7945
1,0000;5,0000;0,5733;0,5838;0,5730;12,6889
1,0000;6,0000;0,5826;0,5903;0,5824;10,8477
1,0000;7,0000;0,5805;0,5928;0,5801;9,2753
1,0000;8,0000;0,5785;0,5903;0,5781;8,2820
1,0000;9,0000;0,5780;0,5881;0,5776;7,7004
1,0000;10,0000;0,5834;0,5952;0,5830;6,8526
1,0000;11,0000;0,5843;0,5987;0,5837;6,3744
1,0000;12,0000;0,5964;0,6063;0,5960;5,7925
1,0000;13,0000;0,5967;0,6051;0,5965;5,3535
1,0000;14,0000;0,5872;0,5990;0,5868;5,1203
1,0000;15,0000;0,5864;0,5974;0,5861;5,1556
1,0000;16,0000;0,5895;0,6013;0,5891;5,2014
1,0000;17,0000;0,5983;0,6117;0,5978;4,5277
1,0000;18,0000;0,5989;0,6120;0,5984;4,5187
1,0000;19,0000;0,5947;0,6094;0,5941;4,1577
1,0000;20,0000;0,5955;0,6053;0,5952;4,0787
1,0000;21,0000;0,6062;0,6221;0,6055;3,8634
1,0000;22,0000;0,6035;0,6196;0,6028;3,9087
1,0000;23,0000;0,6036;0,6157;0,6032;3,8893
1,0000;24,0000;0,5967;0,6089;0,5963;3,7355
1,0000;25,0000;0,6096;0,6201;0,6092;3,6017
2,0000;1,0000;0,5800;0,4113;0,5865;23,6588
2,0000;2,0000;0,6904;0,6811;0,6913;29,2467
2,0000;3,0000;0,7166;0,7231;0,7164;19,0558
2,0000;4,0000;0,7335;0,7388;0,7334;14,7735
2,0000;5,0000;0,7377;0,7457;0,7373;12,5548
2,0000;6,0000;0,7500;0,7591;0,7495;10,5145
2,0000;7,0000;0,7597;0,7681;0,7592;9,2191
2,0000;8,0000;0,7668;0,7735;0,7665;8,4435
2,0000;9,0000;0,7553;0,7641;0,7547;7,8228
2,0000;10,0000;0,7657;0,7774;0,7648;6,5686
2,0000;11,0000;0,7523;0,7645;0,7515;6,2344
2,0000;12,0000;0,7603;0,7736;0,7593;6,1572
2,0000;13,0000;0,7606;0,7732;0,7597;5,0626
2,0000;14,0000;0,7644;0,7773;0,7634;5,0242
2,0000;15,0000;0,7539;0,7686;0,7528;4,8714
2,0000;16,0000;0,7488;0,7611;0,7479;4,5674
2,0000;17,0000;0,7499;0,7637;0,7489;4,6185
2,0000;18,0000;0,7459;0,7605;0,7448;4,4915
2,0000;19,0000;0,7503;0,7643;0,7493;4,3053
2,0000;20,0000;0,7501;0,7673;0,7489;3,8342
2,0000;21,0000;0,7488;0,7646;0,7477;3,7576
2,0000;22,0000;0,7535;0,7706;0,7521;3,5231
2,0000;23,0000;0,7536;0,7699;0,7524;3,4948
2,0000;24,0000;0,7486;0,7648;0,7473;3,5386
2,0000;25,0000;0,7473;0,7647;0,7460;3,3745
