knn,comp,acc,f_score,roc,time
1,1,0.5182,0.3053,0.5252,24.0401
1,1,0.5365,0.3682,0.5426,28.5021
1,1,0.5511,0.3756,0.5575,24.513
1,1,0.4854,0.254,0.4924,24.792
1,1,0.5365,0.3682,0.5426,25.3811
1,1,0.4854,0.2843,0.4918,24.041
1,1,0.5109,0.3366,0.517,24.209
1,1,0.5182,0.3774,0.5235,25.8476
1,1,0.5292,0.2793,0.537,23.5821
1,1,0.4927,0.2872,0.4993,25.176
1,1,0.4964,0.303,0.5027,24.028
1,1,0.5401,0.3438,0.547,23.5019
1,1,0.4927,0.3085,0.4988,23.89
1,1,0.5255,0.3299,0.5322,26.919
1,1,0.4927,0.2872,0.4993,25.463
1,1,0.4964,0.2737,0.5033,23.714
1,1,0.5,0.2902,0.5067,24.6996
1,1,0.5292,0.3246,0.5361,24.792
1,1,0.5,0.2974,0.5066,24.054
1,1,0.5073,0.3005,0.514,23.4746
1,1,0.5328,0.3333,0.5397,25.7841
1,1,0.5219,0.2995,0.5291,23.112
1,1,0.4891,0.2308,0.4966,23.168
1,1,0.5,0.2827,0.5069,24.352
1,1,0.5474,0.38,0.5536,24.6341
1,1,0.5365,0.3135,0.5439,23.8899
1,1,0.4927,0.2567,0.4999,23.602
1,1,0.5401,0.3226,0.5474,23.099
1,1,0.4781,0.2886,0.4842,23.7527
1,1,0.5255,0.35,0.5317,24.923
1,1,0.4927,0.2723,0.4996,23.629
1,1,0.4818,0.3173,0.4873,24.52
1,1,0.5182,0.2584,0.5262,23.184
1,1,0.4964,0.2737,0.5033,24.614
1,1,0.5365,0.328,0.5436,25.4
1,1,0.4927,0.2944,0.4991,24.5629
1,1,0.5401,0.3636,0.5465,23.438
1,1,0.5146,0.3383,0.5207,24.072
1,1,0.5255,0.2857,0.5332,22.824
1,1,0.5219,0.3547,0.5278,23.941
1,1,0.5401,0.3571,0.5466,23.4479
1,1,0.5401,0.3762,0.5462,24.2919
1,1,0.5547,0.39,0.5609,23.57
1,1,0.562,0.3878,0.5686,27.123
1,1,0.4891,0.2708,0.4958,23.7531
1,1,0.5,0.3046,0.5064,24.092
1,1,0.5036,0.2842,0.5106,24.755
1,1,0.573,0.4121,0.5793,24.152
1,1,0.5292,0.3316,0.5359,23.8627
1,1,0.5146,0.3037,0.5215,23.954
2,1,0.5584,0.5101,0.5608,35.49
2,1,0.5766,0.5504,0.5782,34.752
2,1,0.5766,0.5323,0.579,15.535
2,1,0.5511,0.5461,0.5516,59.007
2,1,0.5657,0.5475,0.5668,21.372
2,1,0.6058,0.5814,0.6074,26.968
2,1,0.562,0.5652,0.5622,21.001
2,1,0.5328,0.5188,0.5337,28.879
2,1,0.6387,0.6178,0.6402,23.45
2,1,0.5547,0.5041,0.5572,38.606
2,1,0.573,0.5447,0.5746,32.5281
2,1,0.5255,0.5076,0.5266,41.771
2,1,0.5401,0.5401,0.5404,42.8518
2,1,0.5949,0.5779,0.5961,21.322
2,1,0.5803,0.5455,0.5822,31.8352
2,1,0.5438,0.5387,0.5443,20.8349
2,1,0.4562,0.4377,0.4571,22.086
2,1,0.5912,0.5725,0.5925,26.957
2,1,0.6058,0.5714,0.6079,24.327
2,1,0.6131,0.6187,0.6131,41.074
2,1,0.5401,0.5227,0.5412,23.6101
2,1,0.5839,0.5,0.5879,29.2276
2,1,0.5547,0.5515,0.5552,35.566
2,1,0.6058,0.5714,0.6079,41.785
2,1,0.562,0.52,0.5642,27.316
2,1,0.5438,0.5387,0.5443,33.267
2,1,0.5547,0.5379,0.5558,28.872
2,1,0.573,0.5105,0.5761,32.921
2,1,0.5766,0.5504,0.5782,18.632
2,1,0.562,0.4915,0.5654,29.56
2,1,0.635,0.5968,0.6374,55.298
2,1,0.6387,0.6178,0.6402,22.0299
2,1,0.5511,0.506,0.5534,36.228
2,1,0.6058,0.561,0.6084,19.3186
2,1,0.5949,0.5904,0.5954,29.84
2,1,0.5474,0.5156,0.5491,16.625
2,1,0.5182,0.4844,0.5199,21.456
2,1,0.6241,0.5961,0.6259,34.675
2,1,0.6387,0.5959,0.6413,25.9293
2,1,0.5511,0.498,0.5537,23.952
2,1,0.5474,0.4833,0.5504,28.441
2,1,0.5474,0.5,0.5498,27.634
2,1,0.5985,0.5833,0.5996,22.542
2,1,0.5912,0.552,0.5934,65.5789
2,1,0.5365,0.473,0.5394,37.7511
2,1,0.5365,0.4816,0.5391,44.7621
2,1,0.6131,0.5923,0.6146,33.085
2,1,0.5328,0.5115,0.5341,24.084
2,1,0.573,0.5375,0.5749,29.217
2,1,0.5839,0.5476,0.586,31.699
3,1,0.5839,0.5512,0.5858,30.6119
3,1,0.5803,0.5965,0.5797,20.9269
3,1,0.6168,0.6182,0.617,12.099
3,1,0.5693,0.5597,0.5701,18.674
3,1,0.6496,0.6571,0.6495,21.643
3,1,0.5803,0.566,0.5813,21.508
3,1,0.573,0.5483,0.5745,16.403
3,1,0.5401,0.5154,0.5415,25.146
